date,time,tep,li,kw
20170613,05:01:00,26.3,18.0,0
20170613,05:02:00,26.2,18.0,0
20170613,05:03:00,26.2,18.0,0
20170613,05:04:00,26.3,18.0,0
20170613,05:05:00,26.2,18.0,0
20170613,05:06:00,26.2,18.0,0
20170613,05:07:00,26.2,18.0,0
20170613,05:08:00,26.2,19.0,0
20170613,05:09:00,26.2,19.0,0
20170613,05:10:00,26.3,19.0,0
20170613,05:11:00,26.4,20.0,0
20170613,05:12:00,26.4,20.0,0
20170613,05:13:00,26.6,20.0,0
20170613,05:14:00,26.7,21.0,0
20170613,05:15:00,26.7,21.0,0
20170613,05:16:00,26.8,22.0,0
20170613,05:17:00,26.9,22.0,0
20170613,05:18:00,26.9,497.0,0
20170613,05:19:00,27.0,24.0,0
20170613,05:20:00,27.0,500.0,0
20170613,05:21:00,27.1,26.0,0
20170613,05:22:00,27.1,27.0,0
20170613,05:23:00,27.1,28.0,0
20170613,05:24:00,27.1,30.0,0
20170613,05:25:00,27.2,32.0,0
20170613,05:26:00,27.4,35.0,0
20170613,05:27:00,27.4,37.0,68
20170613,05:28:00,27.5,39.0,65
20170613,05:29:00,27.7,42.0,90
20170613,05:30:00,27.8,44.0,67
20170613,05:31:00,27.9,45.0,64
20170613,05:32:00,27.9,46.0,87
20170613,05:33:00,28.0,48.0,90
20170613,05:34:00,28.0,49.0,110
20170613,05:35:00,28.1,49.0,112
20170613,05:36:00,28.2,50.0,108
20170613,05:37:00,28.2,51.0,102
20170613,05:38:00,28.3,53.0,118
20170613,05:39:00,28.3,55.0,116
20170613,05:40:01,28.4,57.0,133
20170613,05:41:00,28.4,59.0,157
20170613,05:42:00,28.4,62.0,156
20170613,05:43:01,28.5,66.0,156
20170613,05:44:00,28.5,69.0,167
20170613,05:45:00,28.7,84.0,179
20170613,05:46:00,28.8,78.0,168
20170613,05:47:00,28.7,70.0,101
20170613,05:48:00,28.7,71.0,182
20170613,05:49:00,28.8,72.0,208
20170613,05:50:00,28.7,74.0,181
20170613,05:51:00,28.8,76.0,205
20170613,05:52:00,28.9,78.0,204
20170613,05:53:00,29.0,85.0,164
20170613,05:54:00,29.1,100.0,196
20170613,05:55:00,29.2,99.0,266
20170613,05:56:00,29.3,95.0,253
20170613,05:57:00,29.3,87.0,219
20170613,05:58:01,29.5,106.0,305
20170613,05:59:00,29.8,131.0,287
20170613,06:00:00,29.9,125.0,310
20170613,06:01:00,29.8,100.0,284
20170613,06:02:00,30.0,122.0,338
20170613,06:03:00,30.3,143.0,393
20170613,06:04:00,30.6,152.0,362
20170613,06:05:00,30.8,156.0,412
20170613,06:06:00,31.0,158.0,398
20170613,06:07:00,31.1,146.0,384
20170613,06:08:00,30.9,108.0,279
20170613,06:09:00,30.7,101.0,286
20170613,06:10:00,30.7,98.0,287
20170613,06:11:00,30.6,99.0,279
20170613,06:12:00,30.6,101.0,302
20170613,06:13:00,30.5,102.0,296
20170613,06:14:01,30.6,102.0,299
20170613,06:15:00,30.5,104.0,306
20170613,06:16:00,30.6,105.0,293
20170613,06:17:00,30.7,106.0,308
20170613,06:18:00,30.7,108.0,332
20170613,06:19:00,30.7,111.0,330
20170613,06:20:00,30.8,114.0,356
20170613,06:21:00,30.9,120.0,380
20170613,06:22:00,31.3,153.0,503
20170613,06:23:00,31.7,173.0,505
20170613,06:24:00,31.7,156.0,454
20170613,06:25:00,31.7,137.0,382
20170613,06:26:00,31.6,136.0,431
20170613,06:27:00,31.5,130.0,405
20170613,06:28:00,31.5,129.0,409
20170613,06:29:00,31.6,130.0,397
20170613,06:30:00,31.6,131.0,419
20170613,06:31:00,31.5,133.0,430
20170613,06:32:00,31.4,134.0,433
20170613,06:33:01,31.4,134.0,428
20170613,06:34:01,31.4,135.0,432
20170613,06:35:00,31.5,138.0,440
20170613,06:36:01,31.6,144.0,456
20170613,06:37:00,31.5,145.0,456
20170613,06:38:00,31.8,149.0,453
20170613,06:39:00,31.9,157.0,503
20170613,06:40:00,32.2,173.0,597
20170613,06:41:00,32.9,266.0,941
20170613,06:42:00,33.9,298.0,986
20170613,06:43:00,34.1,250.0,798
20170613,06:44:00,34.8,289.0,950
20170613,06:45:00,35.6,327.0,1071
20170613,06:46:00,36.2,339.0,1118
20170613,06:47:00,36.7,347.0,1129
20170613,06:48:00,36.8,350.0,1141
20170613,06:49:00,37.4,356.0,1174
20170613,06:50:00,38.2,359.0,1191
20170613,06:51:01,38.0,268.0,773
20170613,06:52:01,37.5,244.0,851
20170613,06:53:00,38.2,363.0,1264
20170613,06:54:01,38.7,381.0,1280
20170613,06:55:00,39.0,390.0,1296
20170613,06:56:00,39.9,400.0,1345
20170613,06:57:00,40.3,407.0,1363
20170613,06:58:01,40.6,412.0,1419
20170613,06:59:00,41.0,416.0,1400
20170613,07:00:00,41.5,420.0,1401
20170613,07:01:00,42.2,422.0,1455
20170613,07:02:00,42.0,430.0,1437
20170613,07:03:00,41.9,437.0,1464
20170613,07:04:00,42.7,441.0,1481
20170613,07:05:00,43.6,445.0,1544
20170613,07:06:00,43.5,452.0,1531
20170613,07:07:00,43.7,459.0,1551
20170613,07:08:00,44.2,464.0,1588
20170613,07:09:00,44.3,469.0,1584
20170613,07:10:00,44.6,473.0,1594
20170613,07:11:00,44.6,478.0,1651
20170613,07:12:00,45.3,479.0,1622
20170613,07:13:00,45.9,483.0,1676
20170613,07:14:00,46.0,487.0,1655
20170613,07:15:00,45.7,490.0,1649
20170613,07:16:00,46.1,495.0,1692
20170613,07:17:00,45.2,501.0,1712
20170613,07:18:00,46.3,500.0,1690
20170613,07:19:00,46.0,504.0,1709
20170613,07:20:01,45.8,509.0,1766
20170613,07:21:00,46.5,508.0,1736
20170613,07:22:00,45.5,504.0,1694
20170613,07:23:00,45.6,502.0,1691
20170613,07:24:00,45.9,497.0,1681
20170613,07:25:00,45.5,495.0,1679
20170613,07:26:00,45.3,501.0,1704
20170613,07:27:00,45.3,491.0,1652
20170613,07:28:00,44.7,474.0,1604
20170613,07:29:01,44.6,474.0,1611
20170613,07:30:00,45.1,466.0,1608
20170613,07:31:00,44.6,460.0,1564
20170613,07:32:00,44.6,451.0,1564
20170613,07:33:01,44.1,456.0,1557
20170613,07:34:00,44.4,463.0,1586
20170613,07:35:00,43.7,447.0,1547
20170613,07:36:00,44.3,456.0,1578
20170613,07:37:00,44.2,458.0,1581
20170613,07:38:00,44.4,473.0,1638
20170613,07:39:00,44.4,486.0,1672
20170613,07:40:00,44.7,486.0,1675
20170613,07:41:00,44.9,489.0,1692
20170613,07:42:00,45.4,485.0,1655
20170613,07:43:00,45.1,472.0,1628
20170613,07:44:00,45.6,467.0,1635
20170613,07:45:00,44.8,468.0,1591
20170613,07:46:00,44.8,465.0,1656
20170613,07:47:00,45.2,461.0,1621
20170613,07:48:00,45.1,458.0,1581
20170613,07:49:00,44.9,469.0,1613
20170613,07:50:00,45.1,493.0,1710
20170613,07:51:00,45.0,446.0,1511
20170613,07:52:00,44.4,425.0,1463
20170613,07:53:00,43.5,358.0,1209
20170613,07:54:00,42.8,372.0,1283
20170613,07:55:00,42.2,352.0,1170
20170613,07:56:00,42.1,328.0,1104
20170613,07:57:00,41.1,315.0,1088
20170613,07:58:00,41.6,367.0,1415
20170613,07:59:00,42.8,509.0,1809
20170613,08:00:00,42.8,350.0,1106
20170613,08:01:00,41.7,294.0,1004
20170613,08:02:00,42.0,298.0,1027
20170613,08:03:00,40.9,312.0,997
20170613,08:04:00,40.6,302.0,1041
20170613,08:05:00,40.5,330.0,1280
20170613,08:06:00,41.2,340.0,1232
20170613,08:07:00,41.5,368.0,1250
20170613,08:08:00,41.2,352.0,1214
20170613,08:09:00,41.7,363.0,1250
20170613,08:10:00,41.2,353.0,1209
20170613,08:11:00,41.4,359.0,1240
20170613,08:12:01,42.5,547.0,1989
20170613,08:13:00,43.4,567.0,2152
20170613,08:14:01,43.5,450.0,1577
20170613,08:15:00,44.5,614.0,2228
20170613,08:16:00,45.1,604.0,2134
20170613,08:17:00,45.5,577.0,2074
20170613,08:18:00,45.8,462.0,1564
20170613,08:19:00,45.8,507.0,1735
20170613,08:20:00,46.0,578.0,1979
