date,time,tep,li,kw
20170611,05:01:00,25.6,19,0
20170611,05:02:00,25.7,20,0
20170611,05:03:00,25.6,20,0
20170611,05:04:00,25.6,20,0
20170611,05:05:00,25.6,21,0
20170611,05:06:00,25.6,21,0
20170611,05:07:00,25.6,22,0
20170611,05:08:00,25.6,22,0
20170611,05:09:00,25.7,22,0
20170611,05:10:00,25.7,23,0
20170611,05:11:00,25.8,23,0
20170611,05:12:00,25.8,23,0
20170611,05:13:00,25.8,23,0
20170611,05:14:00,25.9,478,0
20170611,05:15:00,25.9,24,0
20170611,05:16:00,25.9,25,0
20170611,05:17:00,25.9,480,0
20170611,05:18:00,25.9,26,0
20170611,05:19:00,26,26,0
20170611,05:20:00,26,27,0
20170611,05:21:00,26.1,28,0
20170611,05:22:00,26,29,0
20170611,05:23:00,26.1,29,0
20170611,05:24:00,26,30,0
20170611,05:25:00,26.1,31,43
20170611,05:26:00,26.2,33,42
20170611,05:27:00,26.2,34,39
20170611,05:28:00,26.3,36,64
20170611,05:29:00,26.3,37,62
20170611,05:30:00,26.2,39,65
20170611,05:31:00,26.3,40,61
20170611,05:32:00,26.4,42,66
20170611,05:33:00,26.5,45,64
20170611,05:34:00,26.7,47,69
20170611,05:35:00,26.8,49,65
20170611,05:36:00,26.9,51,61
20170611,05:37:00,27,53,89
20170611,05:38:00,27.1,55,75
20170611,05:39:00,27.3,57,93
20170611,05:40:00,27.3,59,92
20170611,05:41:00,27.4,62,93
20170611,05:42:00,27.5,64,117
20170611,05:43:00,27.6,66,97
20170611,05:44:00,27.7,68,113
20170611,05:45:00,27.9,70,118
20170611,05:46:00,28,72,113
20170611,05:47:00,28.1,75,120
20170611,05:48:00,28.3,77,136
20170611,05:49:00,28.4,80,140
20170611,05:50:00,28.6,82,144
20170611,05:51:00,28.7,84,142
20170611,05:52:00,28.8,87,168
20170611,05:53:00,28.9,89,160
20170611,05:54:00,29.1,92,167
20170611,05:55:00,29.2,95,189
20170611,05:56:00,29.4,97,194
20170611,05:57:00,29.6,100,195
20170611,05:58:00,29.7,103,206
20170611,05:59:00,29.9,106,215
20170611,06:00:00,30,109,214
20170611,06:01:00,30.2,112,242
20170611,06:02:00,30.4,115,232
20170611,06:03:00,30.5,118,225
20170611,06:04:00,30.7,121,262
20170611,06:05:00,30.9,123,266
20170611,06:06:00,30.9,126,275
20170611,06:07:00,31.1,127,282
20170611,06:08:00,31.2,128,269
20170611,06:09:00,31.5,132,299
20170611,06:10:00,31.6,136,303
20170611,06:11:00,31.8,139,320
20170611,06:12:00,31.9,142,336
20170611,06:13:00,32.1,145,327
20170611,06:14:00,32.3,149,349
20170611,06:15:00,32.6,153,377
20170611,06:16:00,32.9,156,376
20170611,06:17:00,33,161,393
20170611,06:18:00,33.3,175,419
20170611,06:19:00,33.5,166,417
20170611,06:20:00,33.8,169,443
20170611,06:21:00,33.9,173,447
20170611,06:22:00,34.1,176,470
20170611,06:23:00,34.1,180,475
20170611,06:24:00,34.3,183,494
20170611,06:25:00,34.3,187,480
20170611,06:26:00,34.3,191,471
20170611,06:27:00,34.3,194,490
20170611,06:28:00,34.4,208,549
20170611,06:29:00,34.4,199,542
20170611,06:30:00,34.5,201,562
20170611,06:31:00,34.4,203,574
20170611,06:32:00,34.7,205,563
20170611,06:33:00,34.7,208,584
20170611,06:34:00,34.7,210,594
20170611,06:35:00,34.8,211,582
20170611,06:36:00,35,215,622
20170611,06:37:00,35,220,643
20170611,06:38:00,35.1,225,651
20170611,06:39:00,35.3,229,636
20170611,06:40:00,35.3,233,692
20170611,06:41:00,35.5,236,636
20170611,06:42:00,35.8,240,720
20170611,06:43:00,36,244,690
20170611,06:44:00,36.2,247,744
20170611,06:45:00,36.4,252,759
20170611,06:46:00,36.6,268,761
20170611,06:47:00,37.2,259,758
20170611,06:48:00,37.4,261,818
20170611,06:49:00,37.6,264,835
20170611,06:50:00,37.8,270,826
20170611,06:51:00,38.1,278,859
20170611,06:52:00,38.2,276,862
20170611,06:53:00,38.4,279,886
20170611,06:54:00,38.9,283,903
20170611,06:55:00,38.9,287,887
20170611,06:56:00,39.5,291,940
20170611,06:57:00,39.5,294,897
20170611,06:58:00,39.7,297,881
20170611,06:59:00,40.1,301,931
20170611,07:00:00,40.3,303,944
20170611,07:01:00,40.8,305,988
20170611,07:02:00,41.2,310,1016
20170611,07:03:00,41.2,314,986
20170611,07:04:00,41.5,317,1030
20170611,07:05:00,42,322,1065
20170611,07:06:00,42.3,326,1041
20170611,07:07:00,42.1,329,1038
20170611,07:08:00,42.2,332,1055
20170611,07:09:00,42.7,336,1076
20170611,07:10:00,42.9,340,1090
20170611,07:11:00,43,342,1072
20170611,07:12:00,43.2,347,1126
20170611,07:13:00,43.1,352,1144
20170611,07:14:00,43.4,357,1137
20170611,07:15:00,43.6,358,1188
20170611,07:16:00,43.6,364,1145
20170611,07:17:00,43.2,369,1206
20170611,07:18:00,44.1,373,1225
20170611,07:19:00,43.9,376,1221
20170611,07:20:00,44,376,1232
20170611,07:21:00,44.4,380,1218
20170611,07:22:00,44.6,383,1235
20170611,07:23:00,44.8,389,1246
20170611,07:24:00,45.1,391,1303
20170611,07:25:00,45.7,394,1280
20170611,07:26:00,45.9,402,1325
20170611,07:27:00,46.1,406,1328
20170611,07:28:00,46.2,408,1398
20170611,07:29:00,46.2,414,1388
20170611,07:30:00,46.4,417,1383
20170611,07:31:00,46.7,420,1430
20170611,07:32:00,47.4,422,1406
20170611,07:33:00,46.9,426,1418
20170611,07:34:00,47.4,430,1474
20170611,07:35:00,47.1,436,1449
20170611,07:36:00,47,440,1469
20170611,07:37:00,47.3,444,1478
20170611,07:38:00,47.6,447,1507
20170611,07:39:00,48,449,1507
20170611,07:40:00,47.9,451,1505
20170611,07:41:00,47.2,456,1537
20170611,07:42:00,46.8,461,1544
20170611,07:43:00,47.4,465,1564
20170611,07:44:00,47.7,466,1578
20170611,07:45:00,47.9,466,1574
20170611,07:46:00,47.8,471,1597
20170611,07:47:00,47.8,478,1617
20170611,07:48:00,48.1,480,1651
20170611,07:49:00,48.9,483,1638
20170611,07:50:00,48.4,489,1634
20170611,07:51:00,48.3,494,1667
20170611,07:52:00,48.3,498,1709
20170611,07:53:00,48.5,502,1693
20170611,07:54:00,49.2,503,1729
20170611,07:55:00,49.6,503,1717
20170611,07:56:00,49.9,506,1710
20170611,07:57:00,50.4,509,1756
20170611,07:58:00,50.5,515,1786
20170611,07:59:00,50.9,518,1771
20170611,08:00:00,50.3,518,1786
20170611,08:01:00,50.9,522,1779
20170611,08:02:00,51.2,524,1817
20170611,08:03:00,51.6,528,1793
20170611,08:04:00,52.5,530,1831
20170611,08:05:00,52.5,533,1824
20170611,08:06:00,52,538,1826
20170611,08:07:00,52.7,540,1843
20170611,08:08:00,52.9,542,1857
20170611,08:09:00,52.9,548,1873
20170611,08:10:00,52.6,551,1888
20170611,08:11:00,52.2,559,1902
20170611,08:12:00,52.7,560,1890
20170611,08:13:00,53.1,562,1934
20170611,08:14:00,53.4,566,1931
20170611,08:15:00,53.7,568,1971
20170611,08:16:00,54.3,571,1938
20170611,08:17:00,54.6,571,1944
20170611,08:18:00,54.3,573,1949
20170611,08:19:00,54.1,580,1967
20170611,08:20:00,54.7,582,1962
20170611,08:21:00,55.5,582,1998
20170611,08:22:00,55.3,588,2016
20170611,08:23:00,54.4,593,2025
20170611,08:24:00,55.1,597,2027
20170611,08:25:00,55.4,599,2052
20170611,08:26:00,55,600,2065
20170611,08:27:00,55.1,607,2074
20170611,08:28:00,54.7,611,2069
20170611,08:29:00,55,615,2092
20170611,08:30:00,55.6,615,2096
20170611,08:31:00,55.9,614,2078
20170611,08:32:00,56.8,620,2128
20170611,08:33:00,55.7,630,2110
20170611,08:34:00,55.2,630,2149
20170611,08:35:00,56.1,630,2163
20170611,08:36:00,56.1,634,2161
20170611,08:37:00,55.5,635,2175
20170611,08:38:00,53.9,640,2193
20170611,08:39:00,54.3,643,2210
20170611,08:40:00,55.7,652,2188
20170611,08:41:00,56.6,647,2215
20170611,08:42:00,55.7,651,2235
20170611,08:43:00,56.5,658,2247
20170611,08:44:00,56.5,657,2245
20170611,08:45:00,56.4,662,2281
20170611,08:46:00,56.9,667,2281
20170611,08:47:00,56.8,661,2227
20170611,08:48:00,56.9,664,2264
20170611,08:49:00,56.3,663,2269
20170611,08:50:00,56.7,670,2289
20170611,08:51:00,56.8,680,2317
20170611,08:52:00,57.5,682,2306
20170611,08:53:00,59.2,682,2321
20170611,08:54:00,57.6,683,2344
20170611,08:55:00,58,685,2338
20170611,08:56:00,58,684,2338
20170611,08:57:00,58,684,2338
20170611,08:58:00,58,684,2338
20170611,08:59:00,58,684,2338
20170611,09:00:00,60.2,693,2375
20170611,09:01:00,61.2,703,2196
20170611,09:02:00,59.8,710,2355
20170611,09:03:00,60,714,2453
20170611,09:04:00,61.5,715,2458
20170611,09:05:00,62.4,721,2455
20170611,09:06:00,60.6,736,2494
20170611,09:07:00,60,748,2531
20170611,09:08:00,61.2,742,2523
20170611,09:09:00,61.2,738,2530
20170611,09:10:00,62.1,740,2513
20170611,09:11:00,61.2,740,2513
