date,time,tep,li,kw
20170614,05:01:00,26.3,12,0
20170614,05:02:00,26.1,11,0
20170614,05:03:00,26,12,0
20170614,05:04:00,26,12,0
20170614,05:05:00,26,11,0
20170614,05:06:00,26,12,0
20170614,05:07:00,25.9,13,0
20170614,05:08:00,26,14,0
20170614,05:09:00,26.1,14,0
20170614,05:10:00,26.1,15,0
20170614,05:11:00,26.2,15,0
20170614,05:12:00,26.1,13,0
20170614,05:13:00,26,12,0
20170614,05:14:00,25.9,13,0
20170614,05:15:00,26,13,0
20170614,05:16:00,25.9,14,0
20170614,05:17:00,25.9,14,0
20170614,05:18:00,26,15,0
20170614,05:19:00,25.9,480,0
20170614,05:20:00,25.8,17,0
20170614,05:21:00,25.8,18,0
20170614,05:22:00,26.1,18,0
20170614,05:23:00,25.9,19,0
20170614,05:24:00,26.2,21,0
20170614,05:25:00,26.5,21,0
20170614,05:26:00,26.9,22,0
20170614,05:27:00,27.2,23,0
20170614,05:28:00,27.3,23,0
20170614,05:29:00,27.4,24,0
20170614,05:30:00,27.6,24,0
20170614,05:31:00,27.6,25,0
20170614,05:32:00,27.8,26,0
20170614,05:33:00,27.8,26,0
20170614,05:34:00,27.9,27,0
20170614,05:35:00,28.1,27,0
20170614,05:36:00,28.1,26,0
20170614,05:37:00,28.1,25,0
20170614,05:38:00,28.2,25,0
20170614,05:39:00,28.3,25,0
20170614,05:40:00,27.9,28,0
20170614,05:41:00,27.2,23,0
20170614,05:42:00,26.8,495,44
20170614,05:43:00,26.5,490,43
20170614,05:44:00,26.4,23,42
20170614,05:45:00,26.4,24,46
20170614,05:46:00,26.3,27,22
20170614,05:47:00,26.3,28,22
20170614,05:48:00,26.3,28,22
20170614,05:49:00,26.3,26,22
20170614,05:50:00,26.2,26,22
20170614,05:51:00,26.1,26,21
20170614,05:52:00,26.2,26,47
20170614,05:53:00,26.2,27,44
20170614,05:54:00,26.2,28,43
20170614,05:55:00,26.1,29,21
20170614,05:56:00,26.2,27,39
20170614,05:57:00,26.1,27,22
20170614,05:58:00,26.3,27,43
20170614,05:59:00,26.2,31,62
20170614,06:00:00,26.2,34,61
20170614,06:01:00,26.3,36,87
20170614,06:02:00,26.4,39,69
20170614,06:03:00,26.4,42,113
20170614,06:04:00,26.3,43,114
20170614,06:05:00,26.5,41,92
20170614,06:06:00,26.5,39,107
20170614,06:07:00,26.4,40,87
20170614,06:08:00,26.4,43,109
20170614,06:09:00,26.3,45,117
20170614,06:10:00,26.4,45,112
20170614,06:11:00,26.4,45,106
20170614,06:12:00,26.5,46,94
20170614,06:13:00,26.4,48,109
20170614,06:14:00,26.4,46,113
20170614,06:15:00,26.4,44,80
20170614,06:16:00,26.5,45,92
20170614,06:17:00,26.6,46,99
20170614,06:18:00,26.7,45,47
20170614,06:19:00,26.7,43,101
20170614,06:20:00,26.6,39,90
20170614,06:21:00,26.6,35,63
20170614,06:22:00,26.5,30,77
20170614,06:23:00,26.4,25,37
20170614,06:24:00,26.3,23,0
20170614,06:25:00,26.2,26,41
20170614,06:26:00,26.2,30,67
20170614,06:27:00,26.2,33,66
20170614,06:28:00,26.2,34,84
20170614,06:29:00,26.1,35,71
20170614,06:30:00,26,35,64
20170614,06:31:00,26.1,34,62
20170614,06:32:00,26.1,33,55
20170614,06:33:00,26,33,63
20170614,06:34:00,26,34,65
20170614,06:35:00,26,35,83
20170614,06:36:00,26,35,92
20170614,06:37:00,26,35,84
20170614,06:38:00,25.9,34,57
20170614,06:39:00,26,33,65
20170614,06:40:00,25.9,32,65
20170614,06:41:00,25.9,31,44
20170614,06:42:00,25.9,31,33
20170614,06:43:00,25.9,31,43
20170614,06:44:00,26,29,56
20170614,06:45:00,25.9,28,42
20170614,06:46:00,25.9,28,42
20170614,06:47:00,25.8,28,19
20170614,06:48:00,25.8,28,42
20170614,06:49:00,25.8,26,39
20170614,06:50:00,25.8,24,0
20170614,06:51:00,25.8,25,0
20170614,06:52:00,25.7,25,35
20170614,06:53:00,25.6,475,0
20170614,06:54:00,25.7,29,0
20170614,06:55:00,25.7,28,41
20170614,06:56:00,25.7,27,0
20170614,06:57:00,25.6,27,42
20170614,06:58:00,25.6,474,39
20170614,06:59:00,25.6,27,0
20170614,07:00:00,25.6,35,0
20170614,07:01:00,25.6,25,0
20170614,07:02:00,25.6,25,0
20170614,07:03:00,25.6,24,0
20170614,07:04:00,25.6,27,0
20170614,07:05:00,25.6,25,0
20170614,07:06:00,25.6,25,0
20170614,07:07:00,25.6,26,0
20170614,07:08:00,25.6,28,45
20170614,07:09:00,25.6,29,44
20170614,07:10:00,25.7,28,44
