date,time,tep,li,kw
20170617,14:34:00,26.0,47.0,85
20170617,14:35:00,26.0,48.0,89
20170617,14:36:00,26.0,54.0,108
20170617,14:37:00,26.1,60.0,140
20170617,14:38:00,26.3,71.0,154
20170617,14:39:00,26.4,76.0,232
20170617,14:40:00,26.6,82.0,232
20170617,14:41:01,26.7,85.0,234
20170617,14:42:01,26.8,90.0,291
20170617,14:43:00,27.0,112.0,385
20170617,14:44:00,27.4,143.0,549
20170617,14:45:00,27.8,162.0,601
20170617,14:46:01,28.2,177.0,586
20170617,14:47:00,28.6,196.0,741
20170617,14:48:01,28.8,205.0,744
20170617,14:49:00,29.0,205.0,787
20170617,14:50:01,29.0,202.0,778
20170617,14:51:00,29.1,193.0,708
20170617,14:52:00,29.0,178.0,647
20170617,14:53:00,29.0,163.0,592
20170617,14:54:00,28.8,153.0,556
20170617,14:55:01,28.6,148.0,535
20170617,14:56:00,28.6,148.0,563
20170617,14:57:00,28.5,149.0,536
20170617,14:58:00,28.4,151.0,560
20170617,14:59:00,28.3,151.0,539
20170617,15:00:00,28.4,148.0,535
20170617,15:01:00,28.4,143.0,481
20170617,15:02:00,28.3,140.0,515
20170617,15:03:00,28.1,136.0,497
20170617,15:04:00,28.1,129.0,451
20170617,15:05:00,27.9,124.0,443
20170617,15:06:00,27.9,118.0,382
20170617,15:07:00,27.8,113.0,371
20170617,15:08:00,27.7,128.0,382
20170617,15:09:00,27.7,114.0,387
20170617,15:10:00,27.7,119.0,435
20170617,15:11:00,27.7,135.0,444
20170617,15:12:00,27.8,513.0,474
20170617,15:13:00,27.8,133.0,482
20170617,15:14:00,27.9,137.0,464
20170617,15:15:00,27.9,146.0,508
20170617,15:16:00,28.0,149.0,522
20170617,15:17:00,28.0,142.0,524
20170617,15:18:00,28.1,143.0,543
20170617,15:19:00,28.2,143.0,542
20170617,15:20:00,28.2,142.0,507
20170617,15:21:00,28.2,141.0,477
20170617,15:22:00,28.2,139.0,496
20170617,15:23:00,28.1,136.0,467
20170617,15:24:00,28.1,133.0,461
20170617,15:25:00,28.1,131.0,479
20170617,15:26:00,28.0,131.0,486
20170617,15:27:00,28.1,133.0,501
20170617,15:28:00,28.1,139.0,515
20170617,15:29:00,28.0,143.0,542
20170617,15:30:00,28.1,144.0,442
20170617,15:31:00,28.2,145.0,343
20170617,15:32:00,28.3,148.0,413
20170617,15:33:00,28.2,150.0,521
20170617,15:34:00,28.3,152.0,578
20170617,15:35:00,28.3,154.0,592
20170617,15:36:00,28.4,157.0,578
20170617,15:37:00,28.4,158.0,569
20170617,15:38:00,28.5,161.0,611
20170617,15:39:00,28.5,162.0,614
20170617,15:40:00,28.4,165.0,574
20170617,15:41:00,28.5,166.0,593
20170617,15:42:00,28.5,166.0,563
20170617,15:43:00,28.6,167.0,576
20170617,15:44:00,28.5,169.0,610
20170617,15:45:00,28.5,169.0,638
20170617,15:46:00,28.5,170.0,621
20170617,15:47:00,28.5,170.0,578
20170617,15:48:00,28.5,169.0,633
20170617,15:49:00,28.4,166.0,595
20170617,15:50:00,28.4,164.0,575
20170617,15:51:00,28.4,167.0,536
20170617,15:52:00,28.5,170.0,576
20170617,15:53:00,28.5,168.0,581
20170617,15:54:00,28.5,164.0,617
20170617,15:55:00,28.5,157.0,567
20170617,15:56:00,28.4,149.0,499
20170617,15:57:00,28.4,145.0,493
20170617,15:58:00,28.4,145.0,519
20170617,15:59:00,28.3,145.0,507
20170617,16:00:00,28.3,145.0,531
20170617,16:01:00,28.3,146.0,515
20170617,16:02:00,28.2,146.0,508
20170617,16:03:00,28.3,144.0,478
20170617,16:04:00,28.2,142.0,510
20170617,16:05:00,28.2,140.0,493
20170617,16:06:00,28.2,139.0,490
20170617,16:07:00,28.1,140.0,498
20170617,16:08:00,28.1,141.0,485
20170617,16:09:00,28.1,145.0,524
20170617,16:10:00,28.1,148.0,533
